image,label
real/real_0_0.jpg,real
real/real_0_1.jpg,real
real/real_0_2.jpg,real
real/real_0_3.jpg,real
real/real_0_4.jpg,real
fake/fake_0_0.jpg,fake
fake/fake_0_1.jpg,fake
fake/fake_0_2.jpg,fake
fake/fake_0_3.jpg,fake
fake/fake_0_4.jpg,fake
real/real_1_0.jpg,real
real/real_1_1.jpg,real
real/real_1_2.jpg,real
real/real_1_3.jpg,real
real/real_1_4.jpg,real
fake/fake_1_0.jpg,fake
fake/fake_1_1.jpg,fake
fake/fake_1_2.jpg,fake
fake/fake_1_3.jpg,fake
fake/fake_1_4.jpg,fake
real/real_2_0.jpg,real
real/real_2_1.jpg,real
real/real_2_2.jpg,real
real/real_2_3.jpg,real
real/real_2_4.jpg,real
fake/fake_2_0.jpg,fake
fake/fake_2_1.jpg,fake
fake/fake_2_2.jpg,fake
fake/fake_2_3.jpg,fake
fake/fake_2_4.jpg,fake
real/real_3_0.jpg,real
real/real_3_1.jpg,real
real/real_3_2.jpg,real
real/real_3_3.jpg,real
real/real_3_4.jpg,real
fake/fake_3_0.jpg,fake
fake/fake_3_1.jpg,fake
fake/fake_3_2.jpg,fake
fake/fake_3_3.jpg,fake
fake/fake_3_4.jpg,fake
real/real_4_0.jpg,real
real/real_4_1.jpg,real
real/real_4_2.jpg,real
real/real_4_3.jpg,real
real/real_4_4.jpg,real
fake/fake_4_0.jpg,fake
fake/fake_4_1.jpg,fake
fake/fake_4_2.jpg,fake
fake/fake_4_3.jpg,fake
fake/fake_4_4.jpg,fake
real/real_5_0.jpg,real
real/real_5_1.jpg,real
real/real_5_2.jpg,real
real/real_5_3.jpg,real
real/real_5_4.jpg,real
fake/fake_5_0.jpg,fake
fake/fake_5_1.jpg,fake
fake/fake_5_2.jpg,fake
fake/fake_5_3.jpg,fake
fake/fake_5_4.jpg,fake
real/real_6_0.jpg,real
real/real_6_1.jpg,real
real/real_6_2.jpg,real
real/real_6_3.jpg,real
real/real_6_4.jpg,real
fake/fake_6_0.jpg,fake
fake/fake_6_1.jpg,fake
fake/fake_6_2.jpg,fake
fake/fake_6_3.jpg,fake
fake/fake_6_4.jpg,fake
real/real_7_0.jpg,real
real/real_7_1.jpg,real
real/real_7_2.jpg,real
real/real_7_3.jpg,real
real/real_7_4.jpg,real
fake/fake_7_0.jpg,fake
fake/fake_7_1.jpg,fake
fake/fake_7_2.jpg,fake
fake/fake_7_3.jpg,fake
fake/fake_7_4.jpg,fake
